State,No Of Channels
Andaman And Nicobar Islands,0
Andhra Pradesh,13
Arunachal Pradesh,1
Assam,5
Bihar,8
Chandigarh,4
Chhattisgarh,9
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,9
Goa,2
Gujarat,34
Haryana,7
Himachal Pradesh,3
Jammu and Kashmir,8
Jharkhand,8
Karnataka,17
Kerala,20
Lakhshadweep,0
Madhya Pradesh,17
Maharashtra,60
Manipur,0
Meghalaya,3
Mizoram,3
Nagaland,0
Odisha,8
Puducherry,4
Punjab,12
Rajasthan,26
Sikkim,2
Tamil Nadu,30
Telangana,11
Tripura,2
Uttar Pradesh,40
Uttarakhand,1
West Bengal,14
