State,Target,Achieved,Percentage Achieved,Percent Done
Andaman And Nicobar Islands,27,29.22,108.2222222222,108.22
Andhra Pradesh,9834,3996.5,40.639617653,40.64
Arunachal Pradesh,39,5.61,14.3846153846,14.38
Assam,663,42.99,6.4841628959,6.48
Bihar,2493,159.51,6.3983152828,6.4
Chandigarh,153,45.16,29.5163398693,29.52
Chhattisgarh,1783,252.48,14.1604038138,14.16
Dadra and Nagar Haveli,449,5.46,1.2160356347,1.22
Daman and Diu,199,40.55,20.3768844221,20.38
Delhi,2762,192.97,6.9866039102,6.99
Goa,358,7.44,2.0782122905,2.08
Gujarat,8020,4068.3,50.7269326683,50.73
Haryana,4142,407.83,9.8462095606,9.85
Himachal Pradesh,776,42.73,5.506443299,5.51
Jammu and Kashmir,1155,20.73,1.7948051948,1.79
Jharkhand,1995,48.63,2.437593985,2.44
Karnataka,5697,7346.85,128.9599789363,128.96
Kerala,1870,257,13.743315508,13.74
Lakhshadweep,4,0.75,18.75,18.75
Madhya Pradesh,5675,2463.22,43.4047577093,43.4
Maharashtra,11926,2289.97,19.2014925373,19.2
Manipur,105,6.36,6.0571428571,6.06
Meghalaya,161,0.12,0.0745341615,0.07
Mizoram,72,1.53,2.125,2.13
Nagaland,61,1,1.6393442623,1.64
Odisha,2377,401.72,16.9002944889,16.9
Puducherry,246,9.33,3.7926829268,3.79
Punjab,4772,947.1,19.8470243085,19.85
Rajasthan,5762,5472.58,94.9770912877,94.98
Sikkim,36,0.07,0.1944444444,0.19
Tamil Nadu,8884,4403.48,49.5664115263,49.57
Telangana,5000,3936.36,78.7272,78.73
Tripura,105,9.41,8.9619047619,8.96
Uttar Pradesh,10697,1667.5,15.5884827522,15.59
Uttarakhand,900,353.41,39.2677777778,39.27
West Bengal,5336,149.84,2.808095952,2.81
